Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
28-Jun-24,EQ,"1,480.00","1,494.00","1,445.00","1,485.50","1,475.00","1,478.10","1,458.03","1,621.40",705.1,"1,15,34,763","16,81,79,84,974.30","1,19,211"
27-Jun-24,EQ,"1,475.60","1,494.00","1,459.00","1,467.80","1,488.00","1,485.50","1,474.58","1,621.40",705.1,"78,03,408","11,50,67,29,527.65","1,89,880"
26-Jun-24,EQ,"1,458.90","1,474.50","1,451.05","1,456.15","1,472.00","1,467.80","1,463.53","1,621.40",705.1,"32,17,949","4,70,95,75,273.85","97,672"
25-Jun-24,EQ,"1,466.15","1,468.90","1,437.00","1,460.25","1,454.50","1,456.15","1,450.20","1,621.40",705.1,"33,43,186","4,84,82,98,140.85","1,08,468"
24-Jun-24,EQ,"1,474.85","1,479.65","1,450.20","1,485.50","1,460.25","1,460.25","1,461.90","1,621.40",705.1,"30,09,931","4,40,02,18,717.50","1,03,413"
21-Jun-24,EQ,"1,479.95","1,498.90","1,470.00","1,469.40","1,475.95","1,485.50","1,485.14","1,621.40",703,"2,58,91,893","38,45,30,16,485.20","2,22,567"
20-Jun-24,EQ,"1,459.30","1,476.80","1,444.10","1,448.40","1,470.75","1,469.40","1,464.46","1,621.40",703,"49,05,603","7,18,40,40,756.10","1,72,729"
19-Jun-24,EQ,"1,446.00","1,452.00","1,420.45","1,445.00","1,452.00","1,448.40","1,438.23","1,621.40",703,"44,84,742","6,45,01,11,310.85","1,53,477"
18-Jun-24,EQ,"1,447.00","1,458.60","1,434.05","1,430.70","1,444.00","1,445.00","1,443.89","1,621.40",703,"56,51,898","8,16,07,35,207.70","1,21,761"
14-Jun-24,EQ,"1,409.00","1,442.00","1,395.45","1,404.45","1,429.70","1,430.70","1,425.58","1,621.40",703,"56,51,491","8,05,66,35,246.35","1,49,880"
13-Jun-24,EQ,"1,403.60","1,411.00","1,388.05","1,393.95","1,404.00","1,404.45","1,401.02","1,621.40",703,"28,39,159","3,97,77,27,755.35","1,17,279"
12-Jun-24,EQ,"1,411.75","1,414.45","1,390.60","1,403.45","1,394.90","1,393.95","1,401.65","1,621.40",703,"32,58,265","4,56,69,36,210.75","1,17,720"
11-Jun-24,EQ,"1,391.00","1,418.80","1,384.05","1,384.05","1,406.00","1,403.45","1,402.32","1,621.40",703,"41,22,878","5,78,15,77,228.25","1,12,681"
10-Jun-24,EQ,"1,404.00","1,415.35","1,381.25","1,378.85","1,383.90","1,384.05","1,396.94","1,621.40",703,"48,43,234","6,76,57,08,500.30","1,87,698"
7-Jun-24,EQ,"1,357.70","1,385.00","1,355.05","1,352.95","1,378.00","1,378.85","1,374.17","1,621.40",703,"58,84,018","8,08,56,13,692.45","1,61,288"
6-Jun-24,EQ,"1,384.00","1,404.00","1,344.80","1,354.60","1,357.00","1,352.95","1,370.84","1,621.40",703,"1,21,53,840","16,66,09,20,649.10","4,41,222"
5-Jun-24,EQ,"1,281.00","1,368.00","1,160.60","1,248.95","1,340.00","1,354.60","1,272.58","1,621.40",703,"2,08,79,925","26,57,13,28,175.55","8,27,827"
4-Jun-24,EQ,"1,558.00","1,558.00","1,188.00","1,583.95","1,245.00","1,248.95","1,337.42","1,621.40",703,"5,21,09,624","69,69,25,66,425.95","11,84,624"
3-Jun-24,EQ,"1,549.00","1,621.40","1,535.00","1,437.40","1,590.00","1,583.95","1,578.73","1,621.40",703,"2,33,98,347","36,93,97,04,359.30","4,30,815"
31-May-24,EQ,"1,391.00","1,451.00","1,391.00","1,383.50","1,439.00","1,437.40","1,428.68","1,457.05",703,"82,38,969","11,77,08,30,477.85","2,13,346"
30-May-24,EQ,"1,410.00","1,413.65","1,373.65","1,410.00","1,390.00","1,383.50","1,395.79","1,457.05",703,"34,77,661","4,85,40,71,188.60","1,33,342"
29-May-24,EQ,"1,406.00","1,427.85","1,382.90","1,400.50","1,409.00","1,410.00","1,407.34","1,457.05",703,"32,14,475","4,52,38,63,672.40","1,03,675"
28-May-24,EQ,"1,438.00","1,438.00","1,398.00","1,431.65","1,400.65","1,400.50","1,411.74","1,457.05",703,"40,70,886","5,74,70,15,585.60","1,22,574"
27-May-24,EQ,"1,445.00","1,457.05","1,423.60","1,416.10","1,432.70","1,431.65","1,439.25","1,457.05",703,"55,17,078","7,94,04,67,764.90","1,49,010"
24-May-24,EQ,"1,435.00","1,444.95","1,382.15","1,443.35","1,416.90","1,416.10","1,401.53","1,448.80",693.15,"1,91,00,263","26,76,95,68,496.55","2,09,082"
23-May-24,EQ,"1,384.00","1,448.80","1,369.90","1,378.20","1,444.35","1,443.35","1,414.99","1,448.80",693.15,"78,21,034","11,06,66,96,592.30","2,19,904"
22-May-24,EQ,"1,394.35","1,394.35","1,364.20","1,385.50","1,378.10","1,378.20","1,376.40","1,424.95",693.15,"18,78,562","2,58,56,54,815.70","86,474"
21-May-24,EQ,"1,344.00","1,398.80","1,333.00","1,340.20","1,382.55","1,385.50","1,374.34","1,424.95",693.15,"42,00,578","5,77,30,16,470.30","1,50,749"
18-May-24,EQ,"1,342.00","1,345.20","1,335.10","1,335.70","1,345.00","1,340.20","1,339.83","1,424.95",659.5,"1,92,526","25,79,52,577.10","7,543"
17-May-24,EQ,"1,330.00","1,343.30","1,321.15","1,345.05","1,335.75","1,335.70","1,334.80","1,424.95",659.5,"19,45,123","2,59,63,57,383.70","1,04,349"
16-May-24,EQ,"1,352.20","1,366.75","1,310.50","1,337.85","1,342.00","1,345.05","1,340.27","1,424.95",659.5,"48,22,618","6,46,36,30,277.00","1,83,724"
15-May-24,EQ,"1,337.85","1,353.95","1,333.00","1,331.25","1,337.60","1,337.85","1,341.63","1,424.95",659.5,"21,89,768","2,93,78,67,131.10","95,993"
14-May-24,EQ,"1,306.40","1,339.90","1,285.25","1,306.40","1,332.35","1,331.25","1,322.05","1,424.95",659.5,"29,89,543","3,95,23,24,253.50","1,07,922"
13-May-24,EQ,"1,267.00","1,313.00","1,261.65","1,266.75","1,305.10","1,306.40","1,285.75","1,424.95",659.5,"24,95,810","3,20,89,84,127.40","97,610"
10-May-24,EQ,"1,250.00","1,278.70","1,245.75","1,244.55","1,271.95","1,266.75","1,266.82","1,424.95",659.5,"20,22,402","2,56,20,11,999.65","76,352"
9-May-24,EQ,"1,279.00","1,285.80","1,240.00","1,277.25","1,244.00","1,244.55","1,260.16","1,424.95",659.5,"25,91,646","3,26,58,89,778.15","1,23,666"
8-May-24,EQ,"1,293.35","1,293.70","1,269.05","1,287.65","1,278.00","1,277.25","1,282.56","1,424.95",659.5,"16,27,418","2,08,72,61,154.60","75,182"
7-May-24,EQ,"1,291.10","1,301.15","1,265.00","1,289.95","1,286.00","1,287.65","1,283.34","1,424.95",659.5,"34,74,340","4,45,87,46,208.00","1,29,119"
6-May-24,EQ,"1,322.50","1,322.50","1,257.00","1,320.30","1,285.55","1,289.95","1,285.20","1,424.95",659.5,"40,00,668","5,14,16,70,155.80","1,42,077"
3-May-24,EQ,"1,353.00","1,354.00","1,310.45","1,338.80","1,317.95","1,320.30","1,328.79","1,424.95",656.75,"35,28,822","4,68,90,72,493.75","1,11,651"
2-May-24,EQ,"1,333.95","1,348.70","1,306.55","1,324.90","1,341.50","1,338.80","1,334.94","1,424.95",656.75,"79,91,511","10,66,81,60,513.95","2,24,430"
30-Apr-24,EQ,"1,323.55","1,334.65","1,316.25","1,317.25","1,322.90","1,324.90","1,326.63","1,424.95",656.75,"23,21,071","3,07,91,93,615.85","70,013"
29-Apr-24,EQ,"1,334.30","1,335.75","1,307.00","1,324.60","1,318.00","1,317.25","1,316.44","1,424.95",656.75,"21,91,564","2,88,50,69,247.50","88,102"
